"time","dead","scenario"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
2,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
3,1,"Natural Course"
